국회의사당역

시간	상행					하행

5	40,51					42,54

6	03,14,19,28,38,48,57			05,15,28,40,52

7	05,13,21,29,35,42,48,57			04,15,25,35,44,53

8	05,13,21,28,35,42,49,56			01,09,17,25,33,42,50,58

9	04,13,23,33,43,53			06,12,20,28,35,42,49,55

10	03,13,23,33,44,55			02,10,21,31,41,51

11	06,16,26,36,46,56			01,11,21,31,42,53

12	06,17,28,39,49,59			04,14,24,34,44,54

13	09,19,29,39,50				04,15,26,37,47,57

14	01,12,22,32,42,52			07,17,27,37,48,59

15	02,12,23,34,45,55			10,20,30,40,50

16	05,15,25,35,45,56			00,10,21,32,43,53

17	06,14,21,28,35,42,49,56			03,13,23,33,43,54

18	03,10,17,24,31,38,45,52,59		03,11,19,27,34,41,48,55

19	06,13,20,27,34,42,52			02,09,16,23,30,37,44,51,58

20	02,12,22,32,42,52			05,12,19,26,33,40,50

21	02,13,24,35,45,55			00,10,20,30,40,50

22	05,14,25,36,48				00,11,22,33,43,53

23	00,12,24,36,48				02,06,15,21,31,43,55

0	00,13,23,36,49				07,19,31,43,55
