샛강역

시간	상행				하행

5	31,44,55			38,50

6	06,17,25,34,44,54`		01,11,24,35,47,59

7	03,11,19,27,35,41,48,54		11,21,31,40,49,58

8	03,11,19,27,34,41,48,55		06,14,21,29,39,46,54

9	02,09,19,29,39,49,59		02,09,17,25,32,38,45,52,58

10	09,19,29,40,51			06,16,26,36,46,56

11	02,12,22,32,42,52		06,16,26,37,48,59

12	02,13,24,35,45,55		09,19,29,39,49,59

13	05,15,25,35,46,57`		10,21,32,42,52

14	08,18,28,38,48,58		02,12,22,32,43,54

15	08,19,30,41,51			05,15,25,35,45,55

16	01,11,21,31,41,52		05,16,27,38,48,58

17	02,12,20,27,34,41,48,55		08,18,28,38,49,59

18	02,09,16,23,30,37,44,51,58	08,16,24,31,38,45,52,59

19	05,12,19,26,33,40,48,58		06,13,20,27,34,41,48,55

20	08,18,28,38,48,58		02,09,16,23,30,37,45,55

21	08,19,30,41,51			05,15,25,35,45,55

22	01,11,18,29,40,52		06,17,28,38,48,58

23	04,16,28,40,52			02,11,18,27,39,51

0	04,17,27,40,53			03,15,27,39,51
