여의도역

시간	상행								하행

5	35,42,47,53,58							40,52

6	05,10,16,21,22,30,32,40,42,50,52,59				03,11,13,23,26,35,38,47,49,59

7	00,07,08,15,16,23,24,31,32,37,39,44,45,50,52,57,59		01,11,13,21,23,32,33,40,42,50,51,58,59

8	01,05,07,09,13,15,17,21,23,25,30,31,37,39,44,46,51,52,58,59	06,07,14,15,22,23,30,31,34,39,41,43,47,48,50,55,56,58

9	05,07,15,17,25,27,35,37,45,47,55,57				03,04,09,10,17,18,25,26,32,33,39,40,46,47,52,53,59

10	05,07,15,17,25,27,35,37,46,48,57,59				00,07,08,17,18,27,28,37,38,47,48,57,58

11	08,10,18,20,28,30,38,40,48,50,58				07,08,17,18,27,29,38,40,49,51

12	00,08,10,19,21,30,32,41,43,51,53				00,01,10,11,20,21,30,31,40,41,50,51

13	01,03,11,13,21,23,31,33,41,43,52,54				00,02,11,13,22,24,33,34,43,44,53,54

14	03,05,14,16,24,26,34,36,44,46,54,56				03,04,13,14,23,24,33,35,44,46,55,57

15	04,06,14,16,25,27,36,38,47,49,57,59				06,07,16,17,26,27,36,37,46,47,56,57

16	07,09,17,19,27,29,37,39,47,49,58				06,08,17,19,28,30,39,40,49,50,59

17	00,08,10,16,18,23,25,30,32,37,39,44,46,51,53,58			00,09,10,19,20,29,30,39,41,50,51

18	00,05,07,12,14,19,21,26,28,33,35,40,42,47,49,54,56		00,01,08,09,16,17,24,25,31,32,38,39,45,46,52,53,59

19	01,03,08,10,15,17,22,24,29,31,36,38,44,46,54,56			00,06,07,13,14,20,21,27,28,34,35,41,42,48,49,55,56

20	04,06,14,16,24,26,34,36,44,46,54,56				02,03,09,10,16,17,23,24,30,31,37,39,46,48,56,58

21	04,06,15,17,26,28,37,39,47,49,57,59				06,08,16,18,26,28,36,38,46,48,56,58

22	07,09,16,21,27,32,38,43,50,55					07,09,18,20,29,31,39,41,49,51,59

23	02,07,14,19,26,31,38,43,50,55					00,04,12,13,19,25,29,36,41,48,53

0	02,08,15,25,38,51						00,05,12,17,24,29,36,41,48,53

