가양역

시간	상행							하행

5	36,37,47,48,59						30,42,57

6	00,05,11,12,21,22,31,32,41,42,4,50,57,58		10,22,23,34,36,46,47,58,59

7	05,06,13,14,19,20,26,27,33,33,40,40,45,48,48,53,56,56	10,11,22,23,32,33,43,44,51,52

8	01,04,04,09,12,13,20,21,26,27,33,34,40,41,48,49,56,57	01,02,09,10,17,18,25,26,33,34,41,42,51,52

9	06,07,16,17,26,27,36,37,46,47,56,57			00,01,07,08,15,16,22,23,29,30,37,38,45,46,52,53,58,59

10	06,07,16,17,26,27,37,38,48,49,59			05,06,12,13,18,19,28,29,38,39,48,49,58,59

11	00,09,10,19,20,29,30,39,40,49,50,59			08,09,18,19,28,29,38,39,49,50

12	00,10,11,21,22,32,33,42,43,52,53			00,01,11,12,21,22,31,32,41,42,51,52

13	02,03,12,13,22,23,32,33,43,44,54,55			01,02,11,12,22,23,33,34,44,45,54,55

14	05,06,15,16,25,26,35,36,45,46,55,56			04,05,14,15,24,25,34,35,44,45,55,56

15	05,06,16,17,27,28,38,39,48,49,58,59			06,07,17,18,27,28,37,38,47,48,57,58

16	08,09,18,19,28,29,38,39,49,50,59,59			07,08,17,18,28,29,39,40,50,51

17	06,06,13,13,20,20,27,27,34,34,41,41,48,48,55,55		00,01,10,11,20,21,30,31,40,41,50,51

18	02,02,09,09,16,16,23,23,30,30,37,37,44,44,51,51,58,58	01,02,11,12,19,20,27,28,35,36,43,44,50,51,57,58

19	05,05,12,12,19,19,26,27,35,36,45,46,55,56		04,05,11,12,18,19,25,26,32,33,39,40,46,47,53,54

20	05,06,15,16,25,26,35,36,45,46,55,56			00,01,07,08,14,15,21,22,28,29,35,36,42,43,49,50,57,58

21	06,07,17,18,28,29,38,39,48,49,58,59			07,08,17,18,27,28,37,38,47,48,57,58

22	10,11,21,22,32,33,44,45,56,57				07,08,18,19,29,30,40,41,50,51

23	08 09 20 21 32 33 44 45 57 58				00 01 10 11 17 23 24 30 37 38 47 48 59

0	08 21 34 47						00 11 12 23 24 35 36 47 48 59
