서울역

5           20 40 51 
6           00 07 15 22 26 36 41 50 56 
7           00 05 14 23 29 34 36 42 48 57 
8           01 06 12 16 20 28 32 39 47 51 56 
9           00 03 10 15 21 29 38 40 45 50 57 
10          08 18 27 29 34 40 47 56 
11          02 06 11 17 24 31 35 41 45 49 58 
12          01 06 11 19 28 30 36 41 48 57 59 
13          09 19 28 32 37 48 55 
14          00 05 08 12 18 24 28 34 41 51 57 
15          02 11 13 20 26 30 39 47 53 
16          02 04 11 16 21 25 35 38 45 52 
17          03 10 16 20 26 35 41 45 48 55 
18          02 10 16 20 25 30 35 39 44 52 57 
19          01 05 11 22 27 33 43 45 49 55 
20          01 07 13 17 22 26 30 35 41 50 52 56 
21          00 02 06 10 15 23 32 39 48 55
22          05 15 26 38 49 
23          00

공덕

37 49                             5        24 44 55 
00 09 17 27 37 47 56              6        11 19 26 40 45 54 
04 13 18 26 32 37 41 50 55        7       00 09 19 27 34 40 46 52 
03 08 14 19 26 32 38 45 51 57     8    01 05 10 17 24 32 36 43 51 55 
02 09 18 25 31 40 47 57           9       00 07 15 19 25 33 45 49 54 
07 12 17 29 37 42 51 56           10       01 12 22 33 38 44 51
00 08 19 25 29 39 47 52 59        11      01 06 15 21 28 35 45 49 53 
06 18 24 30 39 47 58              12      05 10 15 23 34 40 45 52 
04 13 18 24 30 44 49 55           13      03 13 23 32 37 52 59
00 08 20 29 36 43 48 56           14       05 12 17 22 28 38 45 56 
06 11 22 28 35 48 53 59           15     01 06 18 24 30 43 51 57
09 15 23 31 41 50 55              16       08 15 20 25 30 42 49 56 
00 04 10 24 29 34 41 52           17      07 15 20 30 39 45 52 59 
02 07 14 20 25 34 42 47 54        18       06 14 20 29 34 39 43 48 56 
00 05 10 15 30 35 42 47 52        19       01 09 15 26 31 38 49 53 
02 07 12 20 25 30 42 46 52 59     20       00 05 11 17 21 26 34 39 45 56 
04 10 15 26 32 36 43 49 56        21       00 07 16 21 35 40 44 54 
01 07 17 28 35 43 51              22      00 06 10 14 19 27 36 43 52 59 
00 09 15 30 48                    23       09 19 30 42 53 
02 19 36                           0      04 



홍대입구


34 46 56                          5        28 48 59 
13 23 33 44 52                    6        15 30 44 49 58 
00 14 22 28 37 46 51 59           7       04 13 22 37 50 56 
05 15 22 28 34 47 53 58           8    05 09 14 28 36 47 55 59 
05 15 21 27 36 43 53              9       04 11 18 23 29 37 48 53 58 
04 08 13 25 33 38 47 52 56        10      05 16 26 37 42 48 55 
