공항시장역

시간	상행				하행
5	37,49,56			38,51

6	01,11,21,31,39,47,55		06,19,32,45,57

7	03,09,16,23,30,38,46,54		08,20,32,42,53

8	02,10,16,23,30,38,46,56		01,11,19,27,35,44,51

9	06,16,26,36,46,56		01,10,17,25,32,39,47,55

10	06,16,27,38,49,59		02,08,15,22,28,38,48,58

11	09,19,29,39,49			08,18,28,38,48,59

12	00,11,22,32,42,52		10,21,31,41,51

13	02,12,22,33,44,55		01,11,21,32,43,54

14	05,15,25,35,45,55		04,14,24,34,44,54

15	06,17,28,38,48,58		05,16,27,37,47,57

16	08,18,28,39,49,56		07,17,27,38,49

17	03,10,17,24,31,38,45,52,59	00,10,20,30,40,50

18	06,13,20,27,34,41,48,55		00,11,21,29,37,45,53

19	02,09,16,25,35,45,55		00,07,14,21,28,35,42,49,56

20	05,15,25,35,45,56		03,10,17,24,31,38,45,52,59

21	07,18,28,38,48			07,17,27,37,48,58

22	00,11,22,34,46,58		07,17,28,39,50

23	10,22,34,46,59			00,10,20,26,33,39,47,57

0	12,25,38,51			09,21,33,45,57
