김포공항역

시간	상행							하행
5	30,35,41,47,53,55,59					40,53
	
6	05,09,15,19,29,35,37,43,45,51,53,59			08,21,34,47,59

7	01,05,07,12,14,19,21,25,26,34,36,42,44,50,52,58		01,05,07,12,14,19,21,25,28,34,36,42,44,50,52,58

8	00,06,08,12,14,19,21,26,28,34,36,42,44,50,54		03,13,21,29,37,46,53

9	00,04,10,14,20,24,30,34,40,44,50,54			03,12,19,27,34,41,49,57

10	00,04,10,14,20,25,31,36,42,47,53,57			04,10,1724,30,40,50

11	03,07,13,17,23,27,33,37,43,47,53,58			00,10,20,30,40,50

12	04,09,15,20,26,30,36,40,46,50,56			01,12,23,33,43,53

13	00,06,10,16,20,26,31,37,42,48,53,59			03,13,23,34,45,56

14	03,09,13,19,23,29,33,39,43,49,53,59			06,16,26,36,46,56

15	04,10,15,21,26,32,36,42,46,52,56			07,18,29,39,49,59

16	02,06,12,16,22,26,32,37,43,47,52,54,59			09,19,29,40,51

17	01,06,08,13,15,20,22,27,29,34,36,41,43,48,50,55,57	02,12,22,32,42,52

18	02,04,09,11,16,18,23,25,30,32,37,39,44,46,51,53,58	02,13,23,31,39,47,55

19	00,05,07,12,14,19,23,29,33,39,43,49,53,59		02,09,16,23,30,37,44,51,58

20	03,09,13,19,23,29,33,39,43,49,54			05,12,19,26,33,40,47,54

21	00,05,11,16,22,26,32,36,42,46,52,58			01,09,19,29,39,50

22	04,09,15,20,26,32,38,44,50,56				00,09,19,30,41,52

23	02,08,14,20,26,32,38,44,51,57				02,12,22,28,35,41,49,59

0	10,23,36,49						11,23,35,47,59

