당산역

시간	상행								하행

5	32,37,44,49,55							30,45,56

6	00,06,11,17,19,25,28,35,38,45,48,54,57				08,15,18,27,31,39,43,51,55

7	02,05,10,13,18,21,26,28,33,35,39,42,46,48,53,55,57		03,07,15,18,25,28,35,38,44,47,53,55

8	01,03,05,09,11,13,17,19,21,25,28,33,35,40,42,46,49,53,56	01,04,09,12,17,20,25,28,33,36,38,43,45,46,51,52,54,59

9	01,04,11,14,21,24,31,34,41,44,51,54				00,02,07,09,13,15,21,23,29,31,36,38,43,45,49,51,56,58

10	01,04,11,14,21,24,31,34,41,45,52,56				03,05,10,13,20,23,30,33,40,43,50,53

11	03,07,14,17,24,27,34,37,44,47,54,57				00,03,10,13,20,23,30,34,41,45,52,56

12	04,07,14,18,25,29,36,40,47,50,57				03,06,13,16,23,26,33,36,43,46,53,56

13	00,07,10,17,2,27,30,37,40,47,51,58				03,07,14,18,25,29,36,39,46,49,56,59

14	02,09,13,20,23,30,33,40,43,50,53				06,09,16,19,26,,29,36,40,47,51,58

15	00,03,10,13,20,24,31,35,42,46,53,56				02,09,12,19,22,29,32,39,42,49,52,59

16	03,06,13,16,23,26,33,36,43,46,53,57				02,09,13,20,24,31,35,42,45,52,55

17	03,07,12,14,19,21,26,28,,33,35,40,42,47,49,54,56		02,05,12,15,22,25,32,35,42,46,53,56

18	01,03,08,10,15,17,22,24,29,31,36,38,43,45,50,52,57,59		03,06,11,14,19,22,27,30,35,37,42,44,49,51,56,58

19	04,06,11,13,18,20,25,27,32,34,40,43,49,53,59			03,05,10,12,17,19,24,26,31,33,38,40,45,47,52,54,59

20	03,09,13,19,23,29,33,39,43,49,53,59				01,06,08,13,15,20,22,27,29,34,36,41,43,49,52,59

21	03,10,14,21,25,32,36,42,46,52,56				02,09,12,19,22,29,32,39,42,49,52,59

22	02,06,11,18,23,29,34,40,45,52,57				03,10,14,21,25,32,35,42,45,52,55

23	04,09,16,21,28,33,40,45,52,58					02,05,09,15,18,23,28,33,39,45,51,57

0`	05,11,20,33,46							03,09,15,21,27,33,39,45,51
