동촌역

시간	상행				하행

5	40,52				38,53

6	03,09,16,26,36,46,54		06,17,28,41,52

7	02,10,18,24,31,37,44,52		05,16,27,37,46,55

8	00,08,16,24,31,38,45,53		04,12,20,26,36,46,55

9	01,11,21,31,41,51		02,10,17,23,31,39,46,53

10	01,11,21,31,42,53		00,06,13,22,32,42,52

11	04,14,24,34,44,54		02,12,22,32,43,54

12	04,15,26,37,47,57		05,15,25,35,45,55

13	07,17,27,37,48,59		05,16,27,38,48,58

14	10,20,30,40,50			08,18,28,38,49

15	00,10,21,32,43,53		00,11,21,31,41,51

16	03,13,23,33,43,54		01,11,22,33,44,54

17	03,10,17,24,31,38,45,52,59	04,14,24,34,44,55

18	06,13,20,27,34,41,48,55		05,14,22,30,38,45,52,59

19	02,09,16,23,31,40,50		06,13,20,27,34,41,48,55

20	00,10,20,30,40,50		02,09,16,23,30,37,44,52

21	00,11,22,33,43,53		02,12,22,32,42,52

22	03,14,25,37,49			02,12,23,34,45,55

23	01,13,25,37,49			05,13,18,26,32,42,54

0	02,12,25,38,51			06,18,30,42,54
