마곡나루역

시간	상행				하행

5	30,40,52			34,47

6	00,04,14,24,34,42,50,58		02,15,28,41,53

7	06,13,20,26,33,41,49,57		04,16,28,38,49,57

8	05,13,20,27,33,41,49,59		07,15,23,31,40,47,57

9	09,19,29,39,49,59		06,13,21,29,35,43,51,58

10	09,19,30,41,52			05,11,18,25,34,44,54

11	02,12,22,32,42,52		04,14,24,34,44,55

12	03,14,25,35,45,55		06,17,27,37,47,57

13	05,15,25,36,47,58		07,17,28,39,50

14	08,18,28,38,48,58		00,10,20,30,40,50

15	09,20,30,41,51			01,12,23,33,43,53

16	01,11,21,31,42,52,59		03,13,23,34,45,56

17	06,13,20,27,34,41,48,55		06,16,26,36,46,56

18	02,09,16,23,30,37,44,51,58	07,17,25,33,41,49,56

19	05,12,19,28,38,48,58		03,10,17,24,31,38,45,52,59

20	08,18,28,38,48,59		06,13,20,27,34,41,48,55

21	10,21,31,41,51			03,13,23,33,44,54

22	03,14,25,37,49			03,13,24,35,46,56

23	01,13,25,37,50			06,16,22,29,35,43,53

0	02,15,28,41,54			05,17,29,41,53
