선유도역

시간	상행				하행

5	35,47,58			32,47,59

6	09,15,23,33,43,52		10,21,34,45,57

7	00,08,16,24,31,37,44,53		09,20,30,40,49,58

8	01,09,17,23,31,37,44,51,59	06,14,22,30,39,48,56

9	08,18,28,,38,48,58		04,11,17,25,33,40,47,53

10	08,18,28,39,50			00,07,15,26,36,46,56

11	01,11,21,31,41,51		06,16,26,36,47,58

12	01,12,23,34,44,54		09,19,29,39,49,59

13	04,14,24,34,45,56		09,20,31,42,52

14	07,17,27,37,47,57		02,12,22,32,42,53

15	07,18,29,40,50			04,15,25,35,45,55

16	00,10,20,30,40,51		05,15,26,37,48,58

17	01,10,17,24,31,38,45,52,59	08,18,28,38,48,59

18	06,13,20,27,34,41,48,55		08,16,24,32,39,46,53

19	02,09,16,23,30,37,47,57		00,07,14,21,28,35,42,49,56

20	07,17,27,37,47,57		03,10,17,24,31,38,45,55

21	08,19,30,40,50			05,15,25,35,45,55

22	00,09,21,32,43,55		05,16,27,38,48,58

23	07,19,31,43,56			07,11,20,26,35,47,59

0	09,18,31,44,57			11,23,35,47
