신묵동

시간	상행				하행

5	33,45,56			34,49

6	07,13,20,30,40,50,58		01,12,23,36,48

7	06,14,22,28,35,42,49,57		00,12,23,33,42,51

8	05,13,21,29,35,42,49,57		00,08,16,24,32,42,51,58

9	06,16,26,36,46,56		06,13,19,27,35,42,49,56

10	06,16,26,36,47,58		02,09,18,28,38,48,58

11	09,19,29,39,49,59		08,18,28,39,50

12	09,20,31,42,52			01,11,21,31,41,51

13	02,12,22,32,42,53		01,12,23,34,44,54

14	04,15,25,35,45,55		04,14,24,34,45,56

15	05,15,26,37,48,58		07,17,27,37,47,57

16	08,15,22,29,36,43,50,57		00,10,20,30,40,51

17	08,15,22,29,36,43,50,57		00,10,20,30,40,51

18	04,11,18,25,32,39,46,53		01,10,18,26,34,41,48,55

19	00,07,14,21,28,35,44,54		02,09,16,23,30,37,44,51,58

20	04,14,24,34,44,55		05,12,19,26,33,40,48,57

21	05,16,27,37,47,58		07,17,27,37,47,57

22	07,19,30,41,53			08,19,30,40,50

23	05,17,29,41,53			00,09,14,22,28,38,50

0	06,16,29,42,55			02,14,26,38,50
