신방화역

시간	상행				하행

5	38,50,58			36,49

6	02,12,22,32,40,48,56		04,17,30,43,55

7	04,11,18,24,31,39,47,55		06,18,30,40,51,59

8	03,11,18,25,31,39,47,57		06,18,30,40,51,59

9	07,17,27,37,47,57		08,15,23,31,37,45,53

10	07,17,28,39,50			00,07,13,20,27,36,46,56

11	00,10,20,30,40,50		06,16,26,36,46,57

12	10,12,23,33,43,53		08,19,29,39,49,59

13	03,13,23,34,45,56		09,19,30,41,52

14	06,16,26,36,46,56		02,12,22,32,42,52

15	07,18,29,39,49,59		03,14,25,35,45,55

16	09,19,29,40,50,57		05,15,25,36,47,58

17	04,11,18,25,32,39,46,53		08,18,28,38,48,58

18	00,07,14,21,28,35,42,49,56	09,19,27,35,43,51,58

19	03,10,17,26,36,46,56		05,12,19,26,33,40,47,54

20	06,16,26,36,46,57		01,08,15,22,29,36,43,50,57

21	08,19,29,39,49			05,15,25,35,46,56

22	01,12,23,35,47,59		05,15,26,37,48,58

23	11,23,35,48			08,18,24,31,37,45,55

0	00,13,26,39,52			07,19,31,43,55
