양천향교역

시간	상행				하행

5	32,43,55			32,45

6	03,07,17,27,37,45,53		00,12,26,38,50

7	01,09,16,22,29,36,44,52		02,14,26,36,46,55

8	00,08,16,223,29,36,44,52	04,13,21,29,37,45,54

9	02,12,22,32,42,52		03,11,19,26,32,40,48,55

10	02,12,22,33,44,55		02,09,15,22,31,41,51

11	05,15,25,35,45,55		01,11,21,31,41,52

12	06,17,28,38,48,58		03,14,24,34,44,54

13	08,18,28,39,50			04,14,25,36,47,57

14	01,11,21,31,41,51		07,17,27,37,47,58

15	01,12,23,34,44,54		09,20,30,40,50

16	04,14,24,34,45,55		00,10,20,31,42,53

17	02,09,16,23,30,37,44,51,58	03,13,23,33,43,53

18	05,12,19,26,33,40,47,54		04,14,23,31,39,47,54

19	01,08,15,22,31,41,51		01,08,15,22,29,36,43,50,57

20	01,11,21,31,41,51		04,11,18,25,32,39,46,53

21	02,13,24,34,44,54		01,11,21,31,41,51

22	06,17,28,40,52			01,11,22,33,44,54

23	04,16,28,40,53			04,14,20,27,33,40,51

0	05,18,31,44,57			03,15,27,39,51
