염창역

시간	상행							하행

5	31,40,43,51,54						36,51

6	02,05,11,15,18,24,28,34,38,44,48,53,56			03,15,19,26,31,38,43,50,55

7	01,04,09,12,17,20,24,26,30,33,37,40,44,47,49,52,55,57	02,07,14,19,25,29,35,39,44,48,53,57

8	00,03,05,08,11,13,16,19,24,27,31,33,37,40,44,47,52,55	02,05,10,14,18,22,26,30,34,37,42,44,47,50,53,55,58

9	00,03,10,13,20,23,30,33,40,43,50,53			00,03,06,08,11,15,18,21,25,29,33,37,41,44,47,51,54,58

10	00,03,10,13,20,23,30,34,41,45,52,56			01,04,07,11,15,20,24,30,34,40,44,50,54

11	03,07,14,18,25,29,36,39,46,49,56,59			00,04,10,14,20,24,30,34,41,45,52,56

12	03,07,14,18,25,29,36,39,46,49,56,59			03,07,13,17,23,27,33,37,43,47,53,57

13	06,09,16,19,26,29,36,40,47,51,58			03,07,14,18,25,29,36,40,46,50,56

14	02,09,12,19,22,29,32,39,42,49,52,59			00,06,10,16,20,26,30,36,40,47,51,58

15	02,09,13,20,24,31,35,42,45,52,55			02,09,13,19,23,29,33,39,43,49,53,59

16	02,05,12,15,22,25,32,35,42,46,53,56			03,09,13,20,24,31,35,42,46,52,56

17	03,06,10,13,17,20,24,27,31,34,38,41,45,48,52,55,59	02,06,12,16,22,26,32,36,42,46,53,57

18	02,06,09,13,16,20,23,27,30,34,37,41,44,48,51,55,58	03,07,12,16,20,24,28,32,36,39,43,46,50,53,57

19	02,05,09,12,16,19,23,26,30,33,39,42,49,52,59		00,04,07,11,14,18,21,25,28,32,35,39,42,46,49,53,56

20	02,09,12,19,22,29,32,39,42,49,52,59			00,03,07,10,14,17,21,24,28,31,35,38,42,45,50,53,59

21	03,10,14,21,25,32,35,42,45,52,55			03,09,13,19,23,29,33,39,43,49,53,59

22	02,05,14,17,25,28,36,39,48,51				03,10,14,21,25,32,36,42,46,52,56

23	00,03,12,15,24,27,36,39,48,51				02,06,11,16,19,24,30,33,40,43,52,55

0	01,04,14,27,40,50					04,07,16,19,28,31,40,43,52,55
