증미역

시간	상행				하행

5	38,50				40,55

6	01,07,14,24,34,44,52		07,19,31,43,55

7	00,08,16,22,29,35,42,50,58	07,19,29,39,48,58

8	06,14,22,29,36,43,51,59		06,14,22,30,38,48,57

9	09,19,29,39,49,59		04,12,19,25,33,41,48,55

10	09,19,29,40,51			02,08,15,24,35,44,54

11	02,12,22,32,42,52		04,14,24,34,45,56

12	02,13,24,35,45,55		07,17,27,37,47,57

13	05,15,25,36,46,57		07,18,29,40,50

14	08,18,28,38,48,58		00,10,20,30,40,51

15	08,19,30,41,51			02,13,23,33,43,53

16	01,11,21,31,41,52		03,13,24,35,46,56

17	01,08,15,22,29,36,43,50,57	06,16,26,36,46,57

18	04,11,18,25,32,39,46,53		07,16,24,32,40,47,54

19	00,07,14,21,29,38,48,58		01,08,15,22,29,36,43,50,57

20	08,18,28,38,48,58		04,11,18,25,32,39,46,54

21	09,20,31,41,51			04,14,24,34,44,54

22	01,12,23,35,47,59		04,15,26,37,47,57

23	11,23,35,47			07,15,20,28,33,44,56

0	00,10,23,36,49			08,20,32,44,56
